Id;name;leftDaughter;rightDaughter;angleYMother;geometryType;length;radiusProximal;radiusDistal;N;complianceType;constantCompliance;externalPressure;Ps;As;betaHayashi;betaHayashi-pC1;betaHayashi-pC2;distensibility;wallThickness;youngModulus;betaLaplace;betaExponential;applyGlobalFluid;my;rho;gamma;dlt
unit;;;;#deg;;#m;#m;#m;;;;#Pa;#Pa;#m2;#Pa;#Pa;#Pa;#Pa-1;#m;#m2;#Pa;;;#Pa#s;#kg#m-3;;
1;Ascending aorta;3;2;0;cone;0.04;0.0147;0.0144;5;Hayashi;False;0;13332;;7.326007326;3.663003663;3.663003663;;;;;;True;0.000001;1050;;
2;Aortic arch A;15;14;-55;cone;0.02;0.01255;0.012;5;Hayashi;False;0;13332;;8.1632653062;4.0816326531;4.0816326531;;;;;;True;0.000001;1050;;
3;Brachiocephalic;4;5;45;cone;0.034;0.0101;0.009;5;Hayashi;False;0;13332;;9.4786729858;4.7393364929;4.7393364929;;;;;;True;0.000001;1050;;
4;Subclavian A Right;7;6;40;cone;0.034;0.00575;0.0045;5;Hayashi;False;0;13332;;13.7931034482;6.8965517241;6.8965517241;;;;;;True;0.000001;1050;;
5;Common carotid Right;13;12;-40;cone;0.094;0.00675;0.0035;5;Hayashi;False;0;13332;;13.6518771332;6.8259385666;6.8259385666;;;;;;True;0.000001;1050;;
6;Vertebral Right;;;-60;cone;0.149;0.00185;0.0014;5;Hayashi;False;0;13332;;27.397260274;13.698630137;13.698630137;;;;;;True;0.000001;1050;;
7;Subclavian B, axillary, brachial Right;9;8;70;cone;0.422;0.00405;0.00235;5;Hayashi;False;0;13332;;18.2648401826;9.1324200913;9.1324200913;;;;;;True;0.000001;1050;;
8;Radial Right;;;0;cone;0.235;0.00185;0.00155;5;Hayashi;False;0;13332;;26.8456375838;13.4228187919;13.4228187919;;;;;;True;0.000001;1050;;
9;Ulnar A Right;11;10;40;cone;0.067;0.00185;0.0017;5;Hayashi;False;0;13332;;26.1437908496;13.0718954248;13.0718954248;;;;;;True;0.000001;1050;;
10;Interosseous Right;;;-40;cone;0.079;0.00105;0.0009;5;Hayashi;False;0;13332;;37.037037037;18.5185185185;18.5185185185;;;;;;True;0.000001;1050;;
11;Ulnar B Right;;;10;cone;0.171;0.0016;0.0014;5;Hayashi;False;0;13332;;28.7769784172;14.3884892086;14.3884892086;;;;;;True;0.000001;1050;;
12;Internal carotid Right;;;-5;cone;0.178;0.00285;0.00215;5;Hayashi;False;0;13332;;21.164021164;10.582010582;10.582010582;;;;;;True;0.000001;1050;;
13;External carotid 1 Right;;;25;cone;0.041;0.0025;0.00225;5;Hayashi;False;0;13332;;21.8579234972;10.9289617486;10.9289617486;;;;;;True;0.000001;1050;;
14;Aortic arch B;19;18;-70;cone;0.039;0.0107;0.0104;5;Hayashi;False;0;13332;;8.9285714286;4.4642857143;4.4642857143;;;;;;True;0.000001;1050;;
15;Common carotid Left;16;17;50;cone;0.139;0.006;0.003;5;Hayashi;False;0;13332;;14.9253731344;7.4626865672;7.4626865672;;;;;;True;0.000001;1050;;
16;Internal carotid Left;;;5;cone;0.178;0.00265;0.00205;5;Hayashi;False;0;13332;;21.978021978;10.989010989;10.989010989;;;;;;True;0.000001;1050;;
17;External carotid 1 Left;;;-25;cone;0.041;0.00235;0.00215;5;Hayashi;False;0;13332;;22.5988700564;11.2994350282;11.2994350282;;;;;;True;0.000001;1050;;
18;Thoracic aorta A;26;27;-45;cone;0.052;0.01;0.00945;5;Hayashi;False;0;13332;;9.3896713616;4.6948356808;4.6948356808;;;;;;True;0.000001;1050;;
19;Subclavian A Left;20;21;30;cone;0.034;0.0055;0.00425;5;Hayashi;False;0;13332;;14.2348754448;7.1174377224;7.1174377224;;;;;;True;0.000001;1050;;
